"","Human.Symbol","Homologene_ID","None","Mouse.Symbol","hg19","mm10"
"mm10_Henmt1","HENMT1",32638,"yes","Henmt1","hg19_HENMT1","mm10_Henmt1"
"mm10_Hepacam","HEPACAM",17652,"yes","Hepacam","hg19_HEPACAM","mm10_Hepacam"
"mm10_Hepacam2","HEPACAM2",18724,"yes","Hepacam2","hg19_HEPACAM2","mm10_Hepacam2"
"mm10_Heph","HEPH",32094,"yes","Heph","hg19_HEPH","mm10_Heph"
"mm10_Hephl1","HEPHL1",9112,"yes","Hephl1","hg19_HEPHL1","mm10_Hephl1"
"mm10_Herc1","HERC1",31207,"yes","Herc1","hg19_HERC1","mm10_Herc1"
"mm10_Herc2","HERC2",3430,"yes","Herc2","hg19_HERC2","mm10_Herc2"
"mm10_Herc3","HERC3",57095,"yes","Herc3","hg19_HERC3","mm10_Herc3"
"mm10_Herc4","HERC4",56715,"yes","Herc4","hg19_HERC4","mm10_Herc4"
"mm10_Herc6","HERC6",70768,"yes","Herc6","hg19_HERC6","mm10_Herc6"
"mm10_Herpud1","HERPUD1",40973,"yes","Herpud1","hg19_HERPUD1","mm10_Herpud1"
"mm10_Herpud2","HERPUD2",10756,"yes","Herpud2","hg19_HERPUD2","mm10_Herpud2"
"mm10_Hes1","HES1",38067,"yes","Hes1","hg19_HES1","mm10_Hes1"
"mm10_Hes2","HES2",22455,"yes","Hes2","hg19_HES2","mm10_Hes2"
"mm10_Hes3","HES3",7358,"yes","Hes3","hg19_HES3","mm10_Hes3"
"mm10_Hes5","HES5",7755,"yes","Hes5","hg19_HES5","mm10_Hes5"
"mm10_Hes6","HES6",23111,"yes","Hes6","hg19_HES6","mm10_Hes6"
"mm10_Hes7","HES7",23779,"yes","Hes7","hg19_HES7","mm10_Hes7"
"mm10_Hesx1","HESX1",20831,"yes","Hesx1","hg19_HESX1","mm10_Hesx1"
"mm10_Hexa","HEXA",20146,"yes","Hexa","hg19_HEXA","mm10_Hexa"
"mm10_Hexb","HEXB",437,"yes","Hexb","hg19_HEXB","mm10_Hexb"
"mm10_Hexdc","HEXD",68120,"yes","Hexdc","hg19_HEXD","mm10_Hexdc"
"mm10_Hexim1","HEXIM1",31382,"yes","Hexim1","hg19_HEXIM1","mm10_Hexim1"
"mm10_Hexim2","HEXIM2",16946,"yes","Hexim2","hg19_HEXIM2","mm10_Hexim2"
"mm10_Hey1","HEY1",7756,"yes","Hey1","hg19_HEY1","mm10_Hey1"
"mm10_Hey2","HEY2",22705,"yes","Hey2","hg19_HEY2","mm10_Hey2"
"mm10_Heyl","HEYL",8494,"yes","Heyl","hg19_HEYL","mm10_Heyl"
"mm10_Hfe","HFE",88330,"yes","Hfe","hg19_HFE","mm10_Hfe"
"mm10_Hfm1","HFM1",87103,"yes","Hfm1","hg19_HFM1","mm10_Hfm1"
"mm10_Hgd","HGD",156,"yes","Hgd","hg19_HGD","mm10_Hgd"
"mm10_Hgf","HGF",503,"yes","Hgf","hg19_HGF","mm10_Hgf"
"mm10_Hgfac","HGFAC",1170,"yes","Hgfac","hg19_HGFAC","mm10_Hgfac"
"mm10_Hgh1","HGH1",48742,"yes","Hgh1","hg19_HGH1","mm10_Hgh1"
"mm10_Hgs","HGS",37954,"yes","Hgs","hg19_HGS","mm10_Hgs"
"mm10_Hgsnat","HGSNAT",15586,"yes","Hgsnat","hg19_HGSNAT","mm10_Hgsnat"
"mm10_Hhat","HHAT",41232,"yes","Hhat","hg19_HHAT","mm10_Hhat"
"mm10_Hhatl","HHATL",19287,"yes","Hhatl","hg19_HHATL","mm10_Hhatl"
"mm10_Hhex","HHEX",31110,"yes","Hhex","hg19_HHEX","mm10_Hhex"
"mm10_Hhip","HHIP",32469,"yes","Hhip","hg19_HHIP","mm10_Hhip"
"mm10_Hhipl1","HHIPL1",81985,"yes","Hhipl1","hg19_HHIPL1","mm10_Hhipl1"
"mm10_Hhipl2","HHIPL2",11690,"yes","Hhipl2","hg19_HHIPL2","mm10_Hhipl2"
"mm10_Hhla1","HHLA1",129987,"yes","Hhla1","hg19_HHLA1","mm10_Hhla1"
"mm10_Hibadh","HIBADH",15088,"yes","Hibadh","hg19_HIBADH","mm10_Hibadh"
"mm10_Hibch","HIBCH",5607,"yes","Hibch","hg19_HIBCH","mm10_Hibch"
"mm10_Hic1","HIC1",4740,"yes","Hic1","hg19_HIC1","mm10_Hic1"
"mm10_Hic2","HIC2",9020,"yes","Hic2","hg19_HIC2","mm10_Hic2"
"mm10_Hid1","HID1",12737,"yes","Hid1","hg19_HID1","mm10_Hid1"
"mm10_Hif1a","HIF1A",1171,"yes","Hif1a","hg19_HIF1A","mm10_Hif1a"
"mm10_Hif1an","HIF1AN",9906,"yes","Hif1an","hg19_HIF1AN","mm10_Hif1an"
"mm10_Hif3a","HIF3A",9646,"yes","Hif3a","hg19_HIF3A","mm10_Hif3a"
"mm10_Higd1a","HIGD1A",121937,"yes","Higd1a","hg19_HIGD1A","mm10_Higd1a"
"mm10_Higd1b","HIGD1B",9508,"yes","Higd1b","hg19_HIGD1B","mm10_Higd1b"
"mm10_Higd1c","HIGD1C",105259,"yes","Higd1c","hg19_HIGD1C","mm10_Higd1c"
"mm10_Higd2a","HIGD2A",32648,"yes","Higd2a","hg19_HIGD2A","mm10_Higd2a"
"mm10_Hikeshi","HIKESHI",6908,"yes","Hikeshi","hg19_HIKESHI","mm10_Hikeshi"
"mm10_Hilpda","HILPDA",8345,"yes","Hilpda","hg19_HILPDA","mm10_Hilpda"
"mm10_Hils1","HILS1",56818,"yes","Hils1","hg19_HILS1","mm10_Hils1"
"mm10_Hinfp","HINFP",9174,"yes","Hinfp","hg19_HINFP","mm10_Hinfp"
"mm10_Hint1","HINT1",3904,"yes","Hint1","hg19_HINT1","mm10_Hint1"
"mm10_Hint2","HINT2",13072,"yes","Hint2","hg19_HINT2","mm10_Hint2"
"mm10_Hint3","HINT3",12046,"yes","Hint3","hg19_HINT3","mm10_Hint3"
"mm10_Hip1","HIP1",68463,"yes","Hip1","hg19_HIP1","mm10_Hip1"
"mm10_Hip1r","HIP1R",78348,"yes","Hip1r","hg19_HIP1R","mm10_Hip1r"
"mm10_Hipk1","HIPK1",56483,"yes","Hipk1","hg19_HIPK1","mm10_Hipk1"
"mm10_Hipk2","HIPK2",68766,"yes","Hipk2","hg19_HIPK2","mm10_Hipk2"
"mm10_Hipk3","HIPK3",55923,"yes","Hipk3","hg19_HIPK3","mm10_Hipk3"
"mm10_Hipk4","HIPK4",16970,"yes","Hipk4","hg19_HIPK4","mm10_Hipk4"
"mm10_Hira","HIRA",48172,"yes","Hira","hg19_HIRA","mm10_Hira"
"mm10_Hirip3","HIRIP3",18218,"yes","Hirip3","hg19_HIRIP3","mm10_Hirip3"
"mm10_Hist1h1a","HIST1H1A",135937,"yes","Hist1h1a","hg19_HIST1H1A","mm10_Hist1h1a"
"mm10_Hist1h1b","HIST1H1B",135981,"yes","Hist1h1b","hg19_HIST1H1B","mm10_Hist1h1b"
"mm10_Hist1h1c","HIST1H1C",68455,"yes","Hist1h1c","hg19_HIST1H1C","mm10_Hist1h1c"
"mm10_Hist1h1d","HIST1H1D",68456,"yes","Hist1h1d","hg19_HIST1H1D","mm10_Hist1h1d"
"mm10_Hist1h1e","HIST1H1E",137314,"yes","Hist1h1e","hg19_HIST1H1E","mm10_Hist1h1e"
"mm10_Hist1h1t","HIST1H1T",3889,"yes","Hist1h1t","hg19_HIST1H1T","mm10_Hist1h1t"
"mm10_Hist1h2aa","HIST1H2AA",137631,"yes","Hist1h2aa","hg19_HIST1H2AA","mm10_Hist1h2aa"
"mm10_Hist1h2ag","HIST1H2AB",135982,"no","Hist1h2ag","hg19_HIST1H2AB","mm10_Hist1h2ag"
"mm10_Hist1h2ao","HIST1H2AC",130459,"no","Hist1h2ao","hg19_HIST1H2AC","mm10_Hist1h2ao"
"mm10_Hist1h2ab","HIST1H2AD",137350,"no","Hist1h2ab","hg19_HIST1H2AD","mm10_Hist1h2ab"
"mm10_Hist1h2ai","HIST1H2AE",135791,"no","Hist1h2ai","hg19_HIST1H2AE","mm10_Hist1h2ai"
"mm10_Hist1h2an","HIST1H2AG",137349,"no","Hist1h2an","hg19_HIST1H2AG","mm10_Hist1h2an"
"mm10_Hist1h2ah","HIST1H2AH",119667,"no","Hist1h2ah","hg19_HIST1H2AH","mm10_Hist1h2ah"
"mm10_Hist1h2af","HIST1H2AJ",88882,"no","Hist1h2af","hg19_HIST1H2AJ","mm10_Hist1h2af"
"mm10_Hist1h2ac","HIST1H2AK",134305,"no","Hist1h2ac","hg19_HIST1H2AK","mm10_Hist1h2ac"
"mm10_Hist1h2ae","HIST1H2AL",136768,"no","Hist1h2ae","hg19_HIST1H2AL","mm10_Hist1h2ae"
"mm10_Hist1h2ad","HIST1H2AM",136769,"no","Hist1h2ad","hg19_HIST1H2AM","mm10_Hist1h2ad"
"mm10_Hist1h2ba","HIST1H2BA",69356,"yes","Hist1h2ba","hg19_HIST1H2BA","mm10_Hist1h2ba"
"mm10_Hist1h2bb","HIST1H2BB",137348,"no","Hist1h2bb","hg19_HIST1H2BB","mm10_Hist1h2bb"
"mm10_Hist1h2bg","HIST1H2BC",136774,"no","Hist1h2bg","hg19_HIST1H2BC","mm10_Hist1h2bg"
"mm10_Hist1h2bl","HIST1H2BE",136773,"no","Hist1h2bl","hg19_HIST1H2BE","mm10_Hist1h2bl"
"mm10_Hist1h2be","HIST1H2BF",136358,"no","Hist1h2be","hg19_HIST1H2BF","mm10_Hist1h2be"
"mm10_Hist1h2bf","HIST1H2BG",136770,"no","Hist1h2bf","hg19_HIST1H2BG","mm10_Hist1h2bf"
"mm10_Hist1h2bq","HIST1H2BH",134772,"no","Hist1h2bq","hg19_HIST1H2BH","mm10_Hist1h2bq"
"mm10_Hist1h2bc","HIST1H2BI",135944,"no","Hist1h2bc","hg19_HIST1H2BI","mm10_Hist1h2bc"
"mm10_Hist2h2be","HIST1H2BJ",128594,"no","Hist2h2be","hg19_HIST1H2BJ","mm10_Hist2h2be"
"mm10_Hist1h2bk","HIST1H2BK",135980,"no","Hist1h2bk","hg19_HIST1H2BK","mm10_Hist1h2bk"
"mm10_Hist1h2bj","HIST1H2BL",136771,"no","Hist1h2bj","hg19_HIST1H2BL","mm10_Hist1h2bj"
"mm10_Hist1h2bn","HIST1H2BM",136772,"no","Hist1h2bn","hg19_HIST1H2BM","mm10_Hist1h2bn"
"mm10_Hist1h2bm","HIST1H2BN",135961,"no","Hist1h2bm","hg19_HIST1H2BN","mm10_Hist1h2bm"
"mm10_Hist1h2bp","HIST1H2BO",134442,"no","Hist1h2bp","hg19_HIST1H2BO","mm10_Hist1h2bp"
"mm10_Hist1h3d","HIST1H3A",134332,"no","Hist1h3d","hg19_HIST1H3A","mm10_Hist1h3d"
"mm10_Hist2h3b","HIST1H3B",136775,"no","Hist2h3b","hg19_HIST1H3B","mm10_Hist2h3b"
"mm10_Hist2h3c1","HIST1H3C",134495,"no","Hist2h3c1","hg19_HIST1H3C","mm10_Hist2h3c1"
"mm10_Hist1h3a","HIST1H3D",134487,"no","Hist1h3a","hg19_HIST1H3D","mm10_Hist1h3a"
"mm10_Hist1h3h","HIST1H3E",134113,"no","Hist1h3h","hg19_HIST1H3E","mm10_Hist1h3h"
"mm10_Hist1h3i","HIST1H3F",134472,"no","Hist1h3i","hg19_HIST1H3F","mm10_Hist1h3i"
"mm10_Hist2h3c2","HIST1H3G",134485,"no","Hist2h3c2","hg19_HIST1H3G","mm10_Hist2h3c2"
"mm10_Hist1h3b","HIST1H3H",134491,"no","Hist1h3b","hg19_HIST1H3H","mm10_Hist1h3b"
"mm10_Hist1h3e","HIST1H3I",134496,"no","Hist1h3e","hg19_HIST1H3I","mm10_Hist1h3e"
"mm10_Hist1h3g","HIST1H3J",134479,"no","Hist1h3g","hg19_HIST1H3J","mm10_Hist1h3g"
"mm10_Hist1h4d","HIST1H4A",134481,"no","Hist1h4d","hg19_HIST1H4A","mm10_Hist1h4d"
"mm10_Hist2h4","HIST1H4C",134234,"no","Hist2h4","hg19_HIST1H4C","mm10_Hist2h4"
"mm10_Hist1h4m","HIST1H4D",134478,"no","Hist1h4m","hg19_HIST1H4D","mm10_Hist1h4m"
"mm10_Hist1h4c","HIST1H4F",136776,"no","Hist1h4c","hg19_HIST1H4F","mm10_Hist1h4c"
"mm10_Hist1h4k","HIST1H4H",134461,"no","Hist1h4k","hg19_HIST1H4H","mm10_Hist1h4k"
"mm10_Hist1h4h","HIST1H4I",134482,"no","Hist1h4h","hg19_HIST1H4I","mm10_Hist1h4h"
"mm10_Hist1h4f","HIST1H4J",134492,"no","Hist1h4f","hg19_HIST1H4J","mm10_Hist1h4f"
"mm10_Hist1h4j","HIST1H4K",134474,"no","Hist1h4j","hg19_HIST1H4K","mm10_Hist1h4j"
"mm10_Hist1h4n","HIST1H4L",136248,"no","Hist1h4n","hg19_HIST1H4L","mm10_Hist1h4n"
"mm10_Hist2h2aa1","HIST2H2AA3",116071,"yes","Hist2h2aa1","hg19_HIST2H2AA3","mm10_Hist2h2aa1"
"mm10_Hist2h2ab","HIST2H2AB",111318,"yes","Hist2h2ab","hg19_HIST2H2AB","mm10_Hist2h2ab"
"mm10_Hist2h2ac","HIST2H2AC",128596,"no","Hist2h2ac","hg19_HIST2H2AC","mm10_Hist2h2ac"
"mm10_Hist2h2bb","HIST2H2BF",136264,"no","Hist2h2bb","hg19_HIST2H2BF","mm10_Hist2h2bb"
"mm10_Hist1h3f","HIST2H3A",133885,"no","Hist1h3f","hg19_HIST2H3A","mm10_Hist1h3f"
"mm10_H3f3c","HIST2H3C",134475,"no","H3f3c","hg19_HIST2H3C","mm10_H3f3c"
"mm10_Hist1h3c","HIST2H3D",134489,"no","Hist1h3c","hg19_HIST2H3D","mm10_Hist1h3c"
"mm10_Hist1h4b","HIST2H4A",134466,"no","Hist1h4b","hg19_HIST2H4A","mm10_Hist1h4b"
"mm10_Hist1h4a","HIST2H4B",134494,"no","Hist1h4a","hg19_HIST2H4B","mm10_Hist1h4a"
"mm10_Hist3h2a","HIST3H2A",137357,"yes","Hist3h2a","hg19_HIST3H2A","mm10_Hist3h2a"
"mm10_Hist3h2ba","HIST3H2BA",134740,"yes","Hist3h2ba","hg19_HIST3H2BA","mm10_Hist3h2ba"
"mm10_Hist3h2bb-ps","HIST3H2BB",75941,"no","Hist3h2bb-ps","hg19_HIST3H2BB","mm10_Hist3h2bb-ps"
"mm10_Hist4h4","HIST4H4",134493,"yes","Hist4h4","hg19_HIST4H4","mm10_Hist4h4"
"mm10_Hivep1","HIVEP1",1596,"yes","Hivep1","hg19_HIVEP1","mm10_Hivep1"
"mm10_Hivep2","HIVEP2",4900,"yes","Hivep2","hg19_HIVEP2","mm10_Hivep2"
"mm10_Hivep3","HIVEP3",7803,"yes","Hivep3","hg19_HIVEP3","mm10_Hivep3"
"mm10_Hjurp","HJURP",10184,"yes","Hjurp","hg19_HJURP","mm10_Hjurp"
"mm10_Hfe2","HJV",17060,"yes","Hfe2","hg19_HJV","mm10_Hfe2"
"mm10_Hk1","HK1",100530,"yes","Hk1","hg19_HK1","mm10_Hk1"
"mm10_Hk2","HK2",37273,"yes","Hk2","hg19_HK2","mm10_Hk2"
"mm10_Hk3","HK3",55633,"yes","Hk3","hg19_HK3","mm10_Hk3"
"mm10_Hkdc1","HKDC1",128937,"yes","Hkdc1","hg19_HKDC1","mm10_Hkdc1"
"mm10_H2-Bl","HLA-A",128352,"no","H2-Bl","hg19_HLA-A","mm10_H2-Bl"
"mm10_H2-DMa","HLA-DMA",4464,"yes","H2-DMa","hg19_HLA-DMA","mm10_H2-DMa"
"mm10_H2-DMb1","HLA-DMB",68231,"yes","H2-DMb1","hg19_HLA-DMB","mm10_H2-DMb1"
"mm10_H2-Oa","HLA-DOA",1601,"yes","H2-Oa","hg19_HLA-DOA","mm10_H2-Oa"
"mm10_H2-Ob","HLA-DOB",1602,"yes","H2-Ob","hg19_HLA-DOB","mm10_H2-Ob"
"mm10_H2-Aa","HLA-DQA1",123820,"no","H2-Aa","hg19_HLA-DQA1","mm10_H2-Aa"
"mm10_H2-Ab1","HLA-DQB1",1603,"no","H2-Ab1","hg19_HLA-DQB1","mm10_H2-Ab1"
"mm10_H2-Ea-ps","HLA-DRA",7751,"no","H2-Ea-ps","hg19_HLA-DRA","mm10_H2-Ea-ps"
"mm10_H2-Eb1","HLA-DRB5",101524,"no","H2-Eb1","hg19_HLA-DRB5","mm10_H2-Eb1"
"mm10_H2-T23","HLA-E",134018,"no","H2-T23","hg19_HLA-E","mm10_H2-T23"
"mm10_H2-M3","HLA-G",133255,"no","H2-M3","hg19_HLA-G","mm10_H2-M3"
"mm10_Hlcs","HLCS",37302,"yes","Hlcs","hg19_HLCS","mm10_Hlcs"
"mm10_Hlf","HLF",31074,"yes","Hlf","hg19_HLF","mm10_Hlf"
"mm10_Hltf","HLTF",30136,"yes","Hltf","hg19_HLTF","mm10_Hltf"
"mm10_Hlx","HLX",7363,"yes","Hlx","hg19_HLX","mm10_Hlx"
"mm10_H13","HM13",7749,"yes","H13","hg19_HM13","mm10_H13"
"mm10_Hmbox1","HMBOX1",11589,"yes","Hmbox1","hg19_HMBOX1","mm10_Hmbox1"
"mm10_Hmbs","HMBS",158,"yes","Hmbs","hg19_HMBS","mm10_Hmbs"
"mm10_Hmces","HMCES",6636,"yes","Hmces","hg19_HMCES","mm10_Hmces"
"mm10_Hmcn1","HMCN1",23741,"yes","Hmcn1","hg19_HMCN1","mm10_Hmcn1"
"mm10_Hmcn2","HMCN2",90772,"yes","Hmcn2","hg19_HMCN2","mm10_Hmcn2"
"mm10_Hmg20a","HMG20A",32399,"yes","Hmg20a","hg19_HMG20A","mm10_Hmg20a"
"mm10_Hmg20b","HMG20B",74949,"yes","Hmg20b","hg19_HMG20B","mm10_Hmg20b"
"mm10_Hmga1","HMGA1",128226,"yes","Hmga1","hg19_HMGA1","mm10_Hmga1"
"mm10_Hmga2","HMGA2",2602,"yes","Hmga2","hg19_HMGA2","mm10_Hmga2"
"mm10_Hmgb1","HMGB1",135819,"yes","Hmgb1","hg19_HMGB1","mm10_Hmgb1"
"mm10_Hmgb2","HMGB2",37582,"yes","Hmgb2","hg19_HMGB2","mm10_Hmgb2"
"mm10_Hmgb3","HMGB3",134266,"yes","Hmgb3","hg19_HMGB3","mm10_Hmgb3"
"mm10_Hmgb4","HMGB4",83321,"yes","Hmgb4","hg19_HMGB4","mm10_Hmgb4"
"mm10_Hmgcl","HMGCL",159,"yes","Hmgcl","hg19_HMGCL","mm10_Hmgcl"
"mm10_Hmgcll1","HMGCLL1",27863,"yes","Hmgcll1","hg19_HMGCLL1","mm10_Hmgcll1"
"mm10_Hmgcr","HMGCR",30994,"yes","Hmgcr","hg19_HMGCR","mm10_Hmgcr"
"mm10_Hmgcs1","HMGCS1",1609,"yes","Hmgcs1","hg19_HMGCS1","mm10_Hmgcs1"
"mm10_Hmgcs2","HMGCS2",38066,"yes","Hmgcs2","hg19_HMGCS2","mm10_Hmgcs2"
"mm10_Hmgn1","HMGN1",3643,"yes","Hmgn1","hg19_HMGN1","mm10_Hmgn1"
"mm10_Hmgn2","HMGN2",128537,"yes","Hmgn2","hg19_HMGN2","mm10_Hmgn2"
"mm10_Hmgn3","HMGN3",NA,"yes","Hmgn3","hg19_HMGN3","mm10_Hmgn3"
"mm10_Hmgn5","HMGN5",137317,"yes","Hmgn5","hg19_HMGN5","mm10_Hmgn5"
"mm10_Hmgxb3","HMGXB3",44229,"yes","Hmgxb3","hg19_HMGXB3","mm10_Hmgxb3"
"mm10_Hmgxb4","HMGXB4",4007,"yes","Hmgxb4","hg19_HMGXB4","mm10_Hmgxb4"
"mm10_Hmmr","HMMR",8271,"yes","Hmmr","hg19_HMMR","mm10_Hmmr"
"mm10_Hmox1","HMOX1",31075,"yes","Hmox1","hg19_HMOX1","mm10_Hmox1"
"mm10_Hmox2","HMOX2",1611,"yes","Hmox2","hg19_HMOX2","mm10_Hmox2"
"mm10_Hmx1","HMX1",49241,"yes","Hmx1","hg19_HMX1","mm10_Hmx1"
"mm10_Hmx2","HMX2",24625,"yes","Hmx2","hg19_HMX2","mm10_Hmx2"
"mm10_Hmx3","HMX3",40612,"yes","Hmx3","hg19_HMX3","mm10_Hmx3"
"mm10_Hnf1a","HNF1A",459,"yes","Hnf1a","hg19_HNF1A","mm10_Hnf1a"
"mm10_Hnf1b","HNF1B",396,"yes","Hnf1b","hg19_HNF1B","mm10_Hnf1b"
"mm10_Hnf4a","HNF4A",395,"yes","Hnf4a","hg19_HNF4A","mm10_Hnf4a"
"mm10_Hnf4g","HNF4G",37886,"yes","Hnf4g","hg19_HNF4G","mm10_Hnf4g"
"mm10_Hnmt","HNMT",5032,"yes","Hnmt","hg19_HNMT","mm10_Hnmt"
"mm10_Hnrnpa0","HNRNPA0",136809,"yes","Hnrnpa0","hg19_HNRNPA0","mm10_Hnrnpa0"
"mm10_Hnrnpa1","HNRNPA1",134628,"yes","Hnrnpa1","hg19_HNRNPA1","mm10_Hnrnpa1"
"mm10_Hnrnpa1l2-ps2","HNRNPA1L2",134075,"no","Hnrnpa1l2-ps2","hg19_HNRNPA1L2","mm10_Hnrnpa1l2-ps2"
"mm10_Hnrnpa2b1","HNRNPA2B1",22992,"yes","Hnrnpa2b1","hg19_HNRNPA2B1","mm10_Hnrnpa2b1"
"mm10_Hnrnpa3","HNRNPA3",138303,"yes","Hnrnpa3","hg19_HNRNPA3","mm10_Hnrnpa3"
"mm10_Hnrnpab","HNRNPAB",74950,"yes","Hnrnpab","hg19_HNRNPAB","mm10_Hnrnpab"
"mm10_Hnrnpc","HNRNPC",74524,"yes","Hnrnpc","hg19_HNRNPC","mm10_Hnrnpc"
"mm10_Hnrnpd","HNRNPD",22410,"yes","Hnrnpd","hg19_HNRNPD","mm10_Hnrnpd"
"mm10_Hnrnpdl","HNRNPDL",75314,"yes","Hnrnpdl","hg19_HNRNPDL","mm10_Hnrnpdl"
"mm10_Hnrnpf","HNRNPF",21032,"no","Hnrnpf","hg19_HNRNPF","mm10_Hnrnpf"
"mm10_Hnrnph1","HNRNPH1",31318,"yes","Hnrnph1","hg19_HNRNPH1","mm10_Hnrnph1"
"mm10_Hnrnph2","HNRNPH2",23165,"yes","Hnrnph2","hg19_HNRNPH2","mm10_Hnrnph2"
"mm10_Hnrnph3","HNRNPH3",11012,"yes","Hnrnph3","hg19_HNRNPH3","mm10_Hnrnph3"
"mm10_Hnrnpk","HNRNPK",81909,"yes","Hnrnpk","hg19_HNRNPK","mm10_Hnrnpk"
"mm10_Hnrnpl","HNRNPL",1174,"yes","Hnrnpl","hg19_HNRNPL","mm10_Hnrnpl"
"mm10_Hnrnpll","HNRNPLL",26701,"yes","Hnrnpll","hg19_HNRNPLL","mm10_Hnrnpll"
"mm10_Hnrnpm","HNRNPM",4354,"yes","Hnrnpm","hg19_HNRNPM","mm10_Hnrnpm"
"mm10_Hnrnpr","HNRNPR",4251,"yes","Hnrnpr","hg19_HNRNPR","mm10_Hnrnpr"
"mm10_Hnrnpu","HNRNPU",22991,"yes","Hnrnpu","hg19_HNRNPU","mm10_Hnrnpu"
"mm10_Hnrnpul1","HNRNPUL1",31419,"yes","Hnrnpul1","hg19_HNRNPUL1","mm10_Hnrnpul1"
"mm10_Hnrnpul2","HNRNPUL2",28583,"yes","Hnrnpul2","hg19_HNRNPUL2","mm10_Hnrnpul2"
"mm10_Hoga1","HOGA1",12130,"yes","Hoga1","hg19_HOGA1","mm10_Hoga1"
"mm10_Homer1","HOMER1",3155,"yes","Homer1","hg19_HOMER1","mm10_Homer1"
"mm10_Homer2","HOMER2",3560,"yes","Homer2","hg19_HOMER2","mm10_Homer2"
"mm10_Homer3","HOMER3",37972,"yes","Homer3","hg19_HOMER3","mm10_Homer3"
"mm10_Homez","HOMEZ",10828,"yes","Homez","hg19_HOMEZ","mm10_Homez"
"mm10_Hook1","HOOK1",9289,"yes","Hook1","hg19_HOOK1","mm10_Hook1"
"mm10_Hook2","HOOK2",8332,"yes","Hook2","hg19_HOOK2","mm10_Hook2"
"mm10_Hook3","HOOK3",13022,"yes","Hook3","hg19_HOOK3","mm10_Hook3"
"mm10_Hopx","HOPX",15859,"yes","Hopx","hg19_HOPX","mm10_Hopx"
"mm10_Hormad1","HORMAD1",69415,"yes","Hormad1","hg19_HORMAD1","mm10_Hormad1"
"mm10_Hormad2","HORMAD2",45130,"yes","Hormad2","hg19_HORMAD2","mm10_Hormad2"
"mm10_Hotair","HOTAIR",NA,"yes","Hotair","hg19_HOTAIR","mm10_Hotair"
"mm10_Hotairm1","HOTAIRM1",NA,"yes","Hotairm1","hg19_HOTAIRM1","mm10_Hotairm1"
"mm10_Hottip","HOTTIP",NA,"yes","Hottip","hg19_HOTTIP","mm10_Hottip"
"mm10_Hoxa1","HOXA1",4032,"yes","Hoxa1","hg19_HOXA1","mm10_Hoxa1"
"mm10_Hoxa10","HOXA10",7365,"yes","Hoxa10","hg19_HOXA10","mm10_Hoxa10"
"mm10_Hoxa11","HOXA11",4033,"yes","Hoxa11","hg19_HOXA11","mm10_Hoxa11"
"mm10_Hoxa11os","HOXA11-AS",NA,"yes","Hoxa11os","hg19_HOXA11-AS","mm10_Hoxa11os"
"mm10_Hoxa13","HOXA13",73882,"yes","Hoxa13","hg19_HOXA13","mm10_Hoxa13"
"mm10_Hoxa2","HOXA2",4901,"yes","Hoxa2","hg19_HOXA2","mm10_Hoxa2"
"mm10_Hoxa3","HOXA3",40725,"yes","Hoxa3","hg19_HOXA3","mm10_Hoxa3"
"mm10_Hoxa4","HOXA4",37583,"yes","Hoxa4","hg19_HOXA4","mm10_Hoxa4"
"mm10_Hoxa5","HOXA5",40726,"yes","Hoxa5","hg19_HOXA5","mm10_Hoxa5"
"mm10_Hoxa6","HOXA6",7765,"yes","Hoxa6","hg19_HOXA6","mm10_Hoxa6"
"mm10_Hoxa7","HOXA7",56001,"yes","Hoxa7","hg19_HOXA7","mm10_Hoxa7"
"mm10_Hoxa9","HOXA9",7766,"yes","Hoxa9","hg19_HOXA9","mm10_Hoxa9"
"mm10_Hoxaas3","HOXA-AS3",NA,"yes","Hoxaas3","hg19_HOXA-AS3","mm10_Hoxaas3"
"mm10_Hoxb1","HOXB1",1615,"yes","Hoxb1","hg19_HOXB1","mm10_Hoxb1"
"mm10_Hoxb13","HOXB13",4640,"yes","Hoxb13","hg19_HOXB13","mm10_Hoxb13"
"mm10_Hoxb2","HOXB2",37584,"yes","Hoxb2","hg19_HOXB2","mm10_Hoxb2"
"mm10_Hoxb3","HOXB3",1617,"yes","Hoxb3","hg19_HOXB3","mm10_Hoxb3"
"mm10_Hoxb4","HOXB4",32095,"yes","Hoxb4","hg19_HOXB4","mm10_Hoxb4"
"mm10_Hoxb5","HOXB5",37585,"yes","Hoxb5","hg19_HOXB5","mm10_Hoxb5"
"mm10_Hoxb6","HOXB6",7366,"yes","Hoxb6","hg19_HOXB6","mm10_Hoxb6"
"mm10_Hoxb7","HOXB7",55828,"yes","Hoxb7","hg19_HOXB7","mm10_Hoxb7"
"mm10_Hoxb8","HOXB8",7768,"yes","Hoxb8","hg19_HOXB8","mm10_Hoxb8"
"mm10_Hoxb9","HOXB9",7367,"yes","Hoxb9","hg19_HOXB9","mm10_Hoxb9"
"mm10_Hoxc10","HOXC10",9680,"yes","Hoxc10","hg19_HOXC10","mm10_Hoxc10"
"mm10_Hoxc11","HOXC11",130362,"yes","Hoxc11","hg19_HOXC11","mm10_Hoxc11"
"mm10_Hoxc12","HOXC12",7769,"yes","Hoxc12","hg19_HOXC12","mm10_Hoxc12"
